clip_id,predicted_emotion
clip_000008,sad
clip_000013,disgust
clip_000019,neutral
clip_000045,sad
clip_000050,happy
clip_000054,disgust
clip_000058,sad
clip_000059,sad
clip_000060,sad
clip_000061,anger
clip_000078,anger
clip_000084,anger
clip_000089,fear
clip_000095,sad
clip_000096,disgust
clip_000102,neutral
clip_000121,happy
clip_000125,happy
clip_000127,sad
clip_000150,disgust
clip_000160,happy
clip_000180,sad
clip_000198,anger
clip_000207,anger
clip_000219,disgust
clip_000220,anger
clip_000244,disgust
clip_000246,neutral
clip_000247,neutral
clip_000250,disgust
clip_000258,disgust
clip_000266,sad
clip_000269,fear
clip_000272,disgust
clip_000274,disgust
clip_000276,sad
clip_000286,disgust
clip_000287,anger
clip_000303,sad
clip_000312,disgust
clip_000313,sad
clip_000336,disgust
clip_000337,sad
clip_000351,fear
clip_000361,anger
clip_000375,neutral
clip_000394,sad
clip_000407,neutral
clip_000426,anger
clip_000428,neutral
clip_000437,anger
clip_000438,neutral
clip_000453,neutral
clip_000456,anger
clip_000479,happy
clip_000480,anger
clip_000503,disgust
clip_000516,sad
clip_000519,disgust
clip_000520,disgust
clip_000521,happy
clip_000522,disgust
clip_000528,sad
clip_000529,happy
clip_000558,sad
clip_000560,anger
clip_000594,disgust
clip_000598,happy
clip_000603,neutral
clip_000628,sad
clip_000644,anger
clip_000652,fear
clip_000658,sad
clip_000666,anger
clip_000671,happy
clip_000684,sad
clip_000688,sad
clip_000691,disgust
clip_000696,anger
clip_000706,sad
clip_000710,disgust
clip_000722,sad
clip_000750,happy
clip_000758,anger
clip_000761,sad
clip_000764,neutral
clip_000765,fear
clip_000767,sad
clip_000769,sad
clip_000778,anger
clip_000779,disgust
clip_000789,sad
clip_000798,sad
clip_000803,sad
clip_000819,sad
clip_000821,fear
clip_000827,happy
clip_000835,neutral
clip_000850,neutral
clip_000866,anger
clip_000875,neutral
clip_000893,fear
clip_000895,sad
clip_000901,happy
clip_000912,anger
clip_000920,anger
clip_000922,neutral
clip_000924,anger
clip_000928,fear
clip_000931,happy
clip_000939,sad
clip_000942,happy
clip_000945,neutral
clip_000951,sad
clip_000953,anger
clip_000964,happy
clip_000965,fear
clip_000967,sad
clip_000968,anger
clip_000974,sad
clip_000975,happy
clip_000977,fear
clip_000979,sad
clip_000980,fear
clip_000989,sad
clip_001008,neutral
clip_001017,anger
clip_001028,disgust
clip_001031,neutral
clip_001042,sad
clip_001059,fear
clip_001075,fear
clip_001081,anger
clip_001092,sad
clip_001098,fear
clip_001111,fear
clip_001128,anger
clip_001149,happy
clip_001153,sad
clip_001161,disgust
clip_001167,sad
clip_001175,neutral
clip_001176,neutral
clip_001179,disgust
clip_001187,sad
clip_001191,sad
clip_001196,disgust
clip_001201,fear
clip_001235,happy
clip_001241,neutral
clip_001243,neutral
clip_001245,sad
clip_001256,neutral
clip_001261,sad
clip_001265,happy
clip_001278,disgust
clip_001279,happy
clip_001285,neutral
clip_001287,disgust
clip_001289,fear
clip_001300,disgust
clip_001301,sad
clip_001305,anger
clip_001319,sad
clip_001340,neutral
clip_001369,neutral
clip_001379,sad
clip_001398,sad
clip_001402,sad
clip_001409,anger
clip_001410,fear
clip_001425,disgust
clip_001428,neutral
clip_001439,happy
clip_001468,neutral
clip_001474,neutral
clip_001478,happy
clip_001481,disgust
clip_001484,disgust
clip_001485,fear
clip_001486,sad
clip_001487,happy
clip_001491,anger
clip_001494,neutral
clip_001495,disgust
clip_001501,fear
clip_001506,anger
clip_001525,sad
clip_001535,sad
clip_001550,neutral
clip_001555,sad
clip_001568,sad
clip_001570,happy
clip_001589,anger
clip_001598,anger
clip_001604,happy
clip_001608,neutral
clip_001611,fear
clip_001612,fear
clip_001621,sad
clip_001626,fear
clip_001635,fear
clip_001657,sad
clip_001668,disgust
clip_001676,disgust
clip_001677,anger
clip_001679,anger
clip_001698,sad
clip_001705,disgust
clip_001716,sad
clip_001734,sad
clip_001739,sad
clip_001751,fear
clip_001767,sad
clip_001788,neutral
clip_001792,neutral
clip_001793,sad
clip_001801,happy
clip_001841,neutral
clip_001844,neutral
clip_001887,disgust
clip_001891,neutral
clip_001903,anger
clip_001904,sad
clip_001916,neutral
clip_001923,fear
clip_001924,sad
clip_001936,fear
clip_001946,sad
clip_001952,neutral
clip_001954,fear
clip_001955,anger
clip_001956,sad
clip_001960,anger
clip_001963,neutral
clip_001967,anger
clip_001973,disgust
clip_001979,anger
clip_001980,disgust
clip_001987,disgust
clip_001990,happy
clip_001995,happy
clip_001999,sad
clip_002002,fear
clip_002010,happy
clip_002011,happy
clip_002026,anger
clip_002034,sad
clip_002043,sad
clip_002049,disgust
clip_002054,disgust
clip_002059,anger
clip_002060,sad
clip_002061,disgust
clip_002076,neutral
clip_002084,anger
clip_002096,neutral
clip_002102,anger
clip_002103,anger
clip_002107,fear
clip_002115,fear
clip_002128,fear
clip_002138,disgust
clip_002145,happy
clip_002163,happy
clip_002178,neutral
clip_002179,disgust
clip_002190,disgust
clip_002210,fear
clip_002212,neutral
clip_002221,disgust
clip_002223,disgust
clip_002228,happy
clip_002235,anger
clip_002241,neutral
clip_002243,disgust
clip_002245,fear
clip_002251,neutral
clip_002253,neutral
clip_002269,disgust
clip_002275,sad
clip_002278,anger
clip_002284,neutral
clip_002290,neutral
clip_002291,happy
clip_002298,disgust
clip_002299,fear
clip_002309,neutral
clip_002345,neutral
clip_002352,neutral
clip_002356,fear
clip_002364,sad
clip_002373,sad
clip_002375,anger
clip_002380,happy
clip_002391,anger
clip_002396,disgust
clip_002409,sad
clip_002412,sad
clip_002413,anger
clip_002415,happy
clip_002416,anger
clip_002420,fear
clip_002429,disgust
clip_002440,happy
clip_002445,sad
clip_002448,sad
clip_002451,happy
clip_002452,disgust
clip_002460,sad
clip_002463,fear
clip_002484,disgust
clip_002486,sad
clip_002494,neutral
clip_002495,sad
clip_002500,anger
clip_002507,sad
clip_002513,disgust
clip_002518,fear
clip_002519,anger
clip_002524,happy
clip_002528,happy
clip_002537,fear
clip_002538,anger
clip_002542,neutral
clip_002548,sad
clip_002571,neutral
clip_002572,happy
clip_002573,happy
clip_002582,happy
clip_002585,anger
clip_002588,neutral
clip_002590,anger
clip_002597,neutral
clip_002598,happy
clip_002614,anger
clip_002620,anger
clip_002624,sad
clip_002645,neutral
clip_002657,disgust
clip_002678,fear
clip_002682,neutral
clip_002684,happy
clip_002686,sad
clip_002690,anger
clip_002702,fear
clip_002707,disgust
clip_002735,fear
clip_002737,anger
clip_002750,anger
clip_002757,disgust
clip_002765,happy
clip_002773,anger
clip_002788,happy
clip_002792,happy
clip_002794,neutral
clip_002796,happy
clip_002799,sad
clip_002801,sad
clip_002806,disgust
clip_002808,disgust
clip_002814,anger
clip_002815,happy
clip_002827,anger
clip_002828,happy
clip_002838,disgust
clip_002845,sad
clip_002847,disgust
clip_002887,disgust
clip_002899,anger
clip_002903,fear
clip_002909,neutral
clip_002922,happy
clip_002928,sad
clip_002931,neutral
clip_002944,disgust
clip_002978,sad
clip_002990,neutral
clip_003027,disgust
clip_003043,disgust
clip_003045,disgust
clip_003049,sad
clip_003051,happy
clip_003068,anger
clip_003069,disgust
clip_003073,sad
clip_003079,anger
clip_003089,disgust
clip_003090,happy
clip_003095,anger
clip_003102,happy
clip_003131,sad
clip_003136,disgust
clip_003144,sad
clip_003145,fear
clip_003170,sad
clip_003188,fear
clip_003191,anger
clip_003196,anger
clip_003212,disgust
clip_003218,sad
clip_003224,sad
clip_003230,sad
clip_003233,disgust
clip_003245,fear
clip_003260,neutral
clip_003271,anger
clip_003280,sad
clip_003283,anger
clip_003288,neutral
clip_003301,sad
clip_003305,sad
clip_003318,disgust
clip_003319,neutral
clip_003320,happy
clip_003325,disgust
clip_003335,anger
clip_003336,disgust
clip_003339,anger
clip_003344,disgust
clip_003350,neutral
clip_003359,disgust
clip_003366,disgust
clip_003370,sad
clip_003372,neutral
clip_003377,anger
clip_003384,neutral
clip_003389,fear
clip_003397,sad
clip_003432,disgust
clip_003434,neutral
clip_003438,fear
clip_003445,fear
clip_003452,happy
clip_003456,neutral
clip_003471,anger
clip_003472,anger
clip_003473,neutral
clip_003485,sad
clip_003486,fear
clip_003492,sad
clip_003495,fear
clip_003499,neutral
clip_003506,neutral
clip_003507,neutral
clip_003509,sad
clip_003510,neutral
clip_003526,sad
clip_003527,sad
clip_003536,disgust
clip_003543,neutral
clip_003548,happy
clip_003553,disgust
clip_003555,fear
clip_003563,fear
clip_003567,sad
clip_003569,neutral
clip_003573,neutral
clip_003575,happy
clip_003581,happy
clip_003587,fear
clip_003591,happy
clip_003597,anger
clip_003601,neutral
clip_003602,happy
clip_003603,happy
clip_003608,happy
clip_003620,fear
clip_003635,happy
clip_003642,sad
clip_003671,fear
clip_003672,fear
clip_003675,disgust
clip_003699,disgust
clip_003710,happy
clip_003716,disgust
clip_003723,disgust
clip_003731,sad
clip_003749,disgust
clip_003758,disgust
clip_003763,disgust
clip_003773,sad
clip_003775,sad
clip_003778,sad
clip_003779,fear
